sensed
holds
drove
shine
rubs
stole
cook
wrote
plant
love
give
built
hunt
claw
brewed
waste
hurt
hit
hear
tied
warm
caused
leak
dig
like
fail
hide
make
fill
smack
ate
brings
miss
show
flee
climb
costs
gave
shed
need
closed
hang
sold
drink
lost
cuts
killed
scared
wear
paint
cross
sang
caught
take
cleaned
block
ruined
melts
slash
paid
